trainer,rank_singles_uncursed,rank_doubles_uncursed,rank_delta,rating_singles_uncursed,rating_doubles_uncursed,rating_delta,battles_singles_uncursed,battles_doubles_uncursed
JUGGLER:Brickbat,185,141,44,1797.51,1929.13,131.62,541,536
POKEMONMASTER_Vanya:Vanya#5,47,91,-44,2159.69,2059.11,-100.58,542,536
POKEMONTRAINER_Yezera:Yezera#10,211,167,44,1698.95,1818.42,119.47,541,536
POKEMONMASTER_Vanya:Vanya#1,70,113,-43,2109.71,1999.56,-110.15,542,536
HIKER:Valrex,102,60,42,2036.83,2108.29,71.46,541,536
MASKEDVILLAIN:Crimson#14,62,104,-42,2122.21,2025.83,-96.38,542,536
POKEMONMASTER_Vanya:Vanya#13,107,148,-41,2024.3,1903.13,-121.17,541,536
POKEMONMASTER_Vanya:Vanya#8,176,135,41,1820.2,1936.62,116.42,542,536
IDEALTRAINER:of Freedom,90,50,40,2054.39,2124.44,70.05,541,536
MASKEDVILLAIN2:Teal#14,61,101,-40,2122.21,2034.88,-87.33,542,536
MASKEDVILLAIN_Sang:Silver,293,253,40,1506.08,1578.0,71.92,541,536
TRAINER_Skyler:Skyler,115,75,40,2003.44,2084.82,81.38,542,536
COOLTRAINER_M7:Nero,83,122,-39,2065.56,1970.6,-94.96,542,536
SAILOR2:Angelo,253,292,-39,1575.73,1488.03,-87.7,542,536
ANOTHERPOSSIBLEZAIN:Zain#1,76,114,-38,2089.56,1999.08,-90.48,542,536
BURGLAR:Devin,209,171,38,1703.77,1813.2,109.43,542,536
MASKEDVILLAIN2:Teal#15,49,87,-38,2157.84,2070.19,-87.65,542,536
MASKEDVILLAIN:Crimson#15,45,83,-38,2168.46,2072.02,-96.44,542,536
WILDPACK:Lunar,202,164,38,1732.59,1831.95,99.36,542,536
DRAGONTAMER2:Abraham,214,177,37,1695.57,1798.6,103.03,542,536
DRAGONTAMER_F:Bella,153,116,37,1874.63,1993.35,118.72,537,536
TAPU_KOKO:Tapu Koko,80,43,37,2077.09,2148.79,71.7,542,536
SUPERNERD:Agentbla,109,73,36,2022.4,2090.27,67.87,542,536
VETERANM_3:Pearce,222,258,-36,1672.37,1568.76,-103.61,541,536
WILDPACK:Muggy,216,180,36,1686.83,1795.36,108.53,541,536
WORKER3:Seamus,317,353,-36,1415.74,1298.16,-117.58,542,536
LEADER_Eko:Eko#2,26,61,-35,2222.36,2108.29,-114.07,542,536
POKEMONTRAINER_Yezera:Yezera#8,116,81,35,1999.77,2075.69,75.92,541,536
RICHBOY4:Darlvon,122,89,33,1971.09,2060.98,89.89,542,536
MEDIUM:Izumi,205,237,-32,1720.57,1622.39,-98.18,542,536
POKEMONMASTER_Vanya:Vanya#14,124,92,32,1963.54,2057.29,93.75,542,536
POKEMONMASTER_Vanya:Vanya#20,169,201,-32,1829.22,1739.56,-89.66,540,535
VANYAMOM:Vidya,265,233,32,1554.75,1641.64,86.89,542,536
GUITARIST3:Envy,48,79,-31,2157.84,2079.35,-78.49,542,536
WILDPACK:Arid,244,213,31,1598.74,1703.26,104.52,542,536
POKEMONMASTER_Vanya:Vanya,187,157,30,1794.26,1850.94,56.68,541,536
POKEMONRANGER_M2_GANG:Terrance,94,124,-30,2049.18,1968.75,-80.43,542,536
TOURISTM:Azeler,33,3,30,2201.07,2320.63,119.56,540,536
TOURISTM:Calvin,165,195,-30,1842.47,1751.88,-90.59,542,536
MASKEDVILLAIN2:Teal#11,93,64,29,2050.91,2104.7,53.79,542,536
POKEMONTRAINER_Vanya:Vanya,7,36,-29,2325.43,2171.61,-153.82,542,536
SCIENTIST_F:LunaFlare,46,17,29,2160.75,2242.56,81.81,541,536
BACKERS_M:Yanko and Orlando,331,303,28,1389.97,1465.23,75.26,541,536
BLACKBELT:Kai,296,268,28,1494.83,1547.89,53.06,542,536
TRAINER_Eifion:Eifion#1,95,123,-28,2047.0,1970.6,-76.4,542,536
TRAINER_Keoni:Keoni#2,126,98,28,1948.43,2046.1,97.67,542,536
TRAINER_Sang:Sang#2,201,173,28,1740.89,1804.66,63.77,542,536
ANOTHERPOSSIBLETAMARIND:Tamarind,103,76,27,2030.13,2083.0,52.87,541,536
BATTLEGIRL:Tester,392,365,27,1180.0,1247.24,67.24,523,536
JUGGLER:Mikael,343,316,27,1349.27,1416.73,67.46,541,536
LADY4:Pria,190,163,27,1786.43,1831.95,45.52,542,536
PROFESSOR_Tamarind:Tamarind,92,65,27,2052.51,2099.31,46.8,542,536
FAIRYTALEGIRL:Madeline,189,215,-26,1790.44,1697.85,-92.59,542,536
IDEALTRAINER:of Brilliance,96,70,26,2046.9,2092.09,45.19,542,536
POKEMONMASTER_Vanya:Vanya#3,123,97,26,1969.24,2046.1,76.86,542,536
HARLEQUIN:Minty,110,85,25,2018.61,2070.8,52.19,542,536
LEADER_Lambert:Lambert#2,55,80,-25,2145.47,2079.35,-66.12,542,536
POKEMONTRAINER_Yezera:Yezera#11,34,9,25,2194.82,2278.78,83.96,541,536
SCIENTIST_M2:Marco,411,386,25,1117.35,1187.71,70.36,542,536
SWIMMER_F2:Astrid,259,284,-25,1559.76,1514.87,-44.89,542,536
IDEALTRAINER:of Beauty,105,129,-24,2026.36,1951.68,-74.68,541,536
JUGGLER:Youcef,307,331,-24,1451.52,1369.71,-81.81,541,536
LEADER_Helena:Helena#2,101,77,24,2037.5,2081.17,43.67,542,536
MASKEDVILLAIN2:Teal#5,159,183,-24,1851.23,1787.23,-64.0,542,536
PILOT:Charlie,278,302,-24,1530.0,1467.8,-62.2,542,536
TAPU_LELE:Tapu Lele#1,87,63,24,2058.24,2105.88,47.64,541,535
VETERANM:Yoshihiro,264,288,-24,1555.19,1500.35,-54.84,542,536
BACKERS_F:Maria and Iveta,221,244,-23,1674.34,1601.21,-73.13,542,536
CLERK_M:Scott,255,278,-23,1567.28,1524.41,-42.87,541,536
COOLTRAINER_F3:Leah,354,377,-23,1303.37,1218.38,-84.99,542,536
DRAGONTAMER:Bataar,269,246,23,1541.48,1598.88,57.4,542,536
DRAGONTAMER_F:Zinnia,73,96,-23,2096.87,2049.83,-47.04,542,536
IDEALTRAINER:of Colors,166,189,-23,1841.24,1778.78,-62.46,541,536
KILLU:Killu,65,42,23,2117.05,2150.67,33.62,541,536
ODDISH:Oddium,28,5,23,2222.36,2308.93,86.57,542,536
TRAINER_Alessa:Alessa#5,254,277,-23,1571.16,1529.14,-42.02,542,536
ANCIENTPRIEST:Kazmilos,274,296,-22,1536.9,1475.46,-61.44,542,536
LEADER_Noel:Noel#1,284,262,22,1517.46,1557.18,39.72,542,536
MASKEDVILLAIN2:Teal#2,203,225,-22,1732.08,1669.05,-63.03,542,536
SEEKER_Nora:Nora,192,214,-22,1784.01,1701.25,-82.76,542,536
ANOTHERPOSSIBLEALESSA:Alessa#1,8,29,-21,2323.78,2185.61,-138.17,542,536
BEAUTY:Gretchen,393,414,-21,1179.72,1085.35,-94.37,542,536
CLOWN:Dimesmart,377,398,-21,1236.6,1147.69,-88.91,542,536
GARDENER:Larry,163,184,-21,1846.02,1786.88,-59.14,542,536
MASKEDVILLAIN2:Teal#16,111,90,21,2018.61,2060.96,42.35,542,536
OFFICEWORKER_M:Kurt,310,289,21,1447.67,1497.9,50.23,542,536
TRAINER_Imogene_A:Imogene#1,84,105,-21,2063.72,2023.6,-40.12,541,536
WORKER3:Bruce,333,312,21,1384.66,1438.81,54.15,542,536
COOLTRAINER_M7:X,25,45,-20,2226.2,2145.51,-80.69,542,536
IDEALTRAINER:of Tradition,175,155,20,1820.73,1868.6,47.87,541,536
LADY2:Eseria,19,39,-20,2256.9,2166.78,-90.12,542,536
LEADER_Bence:Bence#1,340,320,20,1375.17,1411.07,35.9,542,536
SHADOWMAVIS:Mavis,154,174,-20,1874.21,1801.86,-72.35,542,536
SWIMMER_F6:Kiana,260,280,-20,1557.42,1524.41,-33.01,542,536
TRAINER_Zain:Zain#2,29,49,-20,2218.67,2127.4,-91.27,542,536
GAMBLER:Tiki,184,165,19,1800.21,1828.55,28.34,542,536
JANITOR:Eric,386,367,19,1207.13,1244.18,37.05,541,536
POKEMONTRAINER_Yezera:Yezera#4,400,381,19,1152.05,1203.03,50.98,542,536
PSYCHIC_M3:Boban,403,384,19,1144.02,1192.47,48.45,542,536
ROUGHNECK2:Jaggedthorn,125,106,19,1954.08,2021.8,67.72,542,536
RUINMANIAC2:Nabil,289,308,-19,1509.05,1454.47,-54.58,542,536
WORKER6:Paul,322,341,-19,1407.44,1351.01,-56.43,542,536
ARTIST3:Drawingbox,161,179,-18,1847.73,1795.36,-52.37,542,536
COOLTRAINER_F7:Nyx,230,212,18,1646.47,1703.26,56.79,542,536
LEADER_Noel:Noel,288,270,18,1509.05,1543.23,34.18,542,536
MASKEDVILLAIN_DOUBLE:Crimson#12,81,99,-18,2067.44,2042.37,-25.07,541,536
MASKEDVILLAIN_Sang:Silver#1,270,252,18,1541.26,1578.29,37.03,541,536
POKEMONMASTER_Vanya:Vanya#11,129,111,18,1942.75,2012.28,69.53,542,536
VANYADAD:Avram,279,261,18,1523.06,1561.59,38.53,542,536
WAITRESS3:Destiny,32,14,18,2204.1,2253.74,49.64,542,536
ARTIST3:Frida,355,338,17,1300.01,1354.17,54.16,542,536
GAMBLER:IgnitedxSoul,143,126,17,1892.46,1963.05,70.59,542,536
IRISCOSPLAYER:Isabelle,168,185,-17,1837.29,1785.73,-51.56,542,536
LEADER_Eko:Eko#1,459,442,17,880.12,920.82,40.7,542,536
LEADER_Samorn:Samorn#2,27,44,-17,2222.36,2146.81,-75.55,542,536
MASKEDVILLAIN:Crimson#18,144,127,17,1892.44,1955.46,63.02,542,536
TAPU_BULU:Tapu Bulu,50,33,17,2154.29,2178.6,24.31,542,536
ULTRALAINIE:Lainie,36,19,17,2189.76,2236.36,46.6,542,536
VETERAN_F:Emily,237,254,-17,1619.85,1578.0,-41.85,542,536
ANCIENTPRIEST:Chestibor,305,321,-16,1455.37,1408.22,-47.15,542,536
DANDY:Jules,314,330,-16,1433.08,1375.81,-57.27,541,536
POKEMONBREEDER_M2:Pechapanda,290,274,16,1506.92,1531.5,24.58,542,536
POKEMONMASTER_Vanya:Vanya#10,133,117,16,1925.84,1993.35,67.51,542,536
POKEMONMASTER_Vanya:Vanya#16,147,131,16,1887.05,1944.14,57.09,542,536
POKEMONTRAINER_Vanya:Vanya#3,23,7,16,2245.07,2294.66,49.59,542,536
SEEKER_Nora:Nora#1,54,38,16,2147.2,2168.12,20.92,542,536
TRAINER_Imogene_A:Imogene,497,513,-16,709.18,610.63,-98.55,541,536
AROMALADY3:Henrietta,319,334,-15,1410.22,1366.63,-43.59,542,536
DOCTOR:Renaldo,271,286,-15,1539.19,1507.64,-31.55,542,536
GENTLEMAN3:Oliver,361,346,15,1279.49,1330.52,51.03,542,536
HEXMANIAC:Errata,3,18,-15,2361.55,2240.19,-121.36,542,536
KIMONOGIRL:Chiyo,267,282,-15,1545.89,1519.65,-26.24,541,536
LASS3:Carmen,328,343,-15,1396.17,1344.65,-51.52,542,536
LASS:Rovina,329,314,15,1391.09,1433.37,42.28,542,536
NIGHTMAREQUEEN_Elise:Elise,38,23,15,2184.8,2225.1,40.3,542,536
POKEFAN_F:Impi,383,368,15,1225.5,1242.78,17.28,542,536
POKEMONTRAINER_Yezera:Yezera#6,193,178,15,1783.75,1798.6,14.85,542,536
